总类别,子类别,商标名,商标图片地址,txt地址
穿着-装扮,珠宝首饰,伊泰莲娜ITALIAN,./穿着-装扮/珠宝首饰/伊泰莲娜ITALIAN/17595331155_207x90.gif,./穿着-装扮/珠宝首饰/伊泰莲娜ITALIAN/伊泰莲娜首饰精品(中山)有限公司.txt
穿着-装扮,美发-护发,海飞丝,./穿着-装扮/美发-护发/海飞丝/18101752106_207x90.gif,./穿着-装扮/美发-护发/海飞丝/宝洁(中国)有限公司.txt
穿着-装扮,面部护肤,伊贝诗RIBECS,./穿着-装扮/面部护肤/伊贝诗RIBECS/09054611899_207x90.gif,./穿着-装扮/面部护肤/伊贝诗RIBECS/深圳市仙迪化妆品有限公司.txt
穿着-装扮,珠宝首饰,MIKIMOTO御木本,./穿着-装扮/珠宝首饰/MIKIMOTO御木本/09122213146_207x90.gif,./穿着-装扮/珠宝首饰/MIKIMOTO御木本/御木本珠宝商贸(上海)有限公司.txt
穿着-装扮,珠宝首饰,劳士顿ROSDN,./穿着-装扮/珠宝首饰/劳士顿ROSDN/18021564299_207x90.gif,./穿着-装扮/珠宝首饰/劳士顿ROSDN/深圳市艾诺智能科技有限公司.txt
穿着-装扮,珠宝首饰,Baccarat,./穿着-装扮/珠宝首饰/Baccarat/18051696920_207x90.gif,./穿着-装扮/珠宝首饰/Baccarat/巴卡拉(上海)商贸有限公司.txt
穿着-装扮,鞋袜-箱包,食草堂,./穿着-装扮/鞋袜-箱包/食草堂/18035396473_207x90.gif,./穿着-装扮/鞋袜-箱包/食草堂/石家庄食草堂文化饰品有限公司.txt
穿着-装扮,珠宝首饰,七好银饰,./穿着-装扮/珠宝首饰/七好银饰/18083386801_207x90.gif,./穿着-装扮/珠宝首饰/七好银饰/广州市七银尚商贸有限公司.txt
穿着-装扮,服装配饰,美丽时MEILISHI,./穿着-装扮/服装配饰/美丽时MEILISHI/16302251325_207x90.gif,./穿着-装扮/服装配饰/美丽时MEILISHI/西安美丽时服饰有限公司.txt
穿着-装扮,服装配饰,H&M,./穿着-装扮/服装配饰/H&M/09071925117_207x90.gif,./穿着-装扮/服装配饰/H&M/海恩斯莫里斯(上海)商业有限公司.txt
穿着-装扮,香水彩妆,HERA赫妍,./穿着-装扮/香水彩妆/HERA赫妍/16042341070_207x90.gif,./穿着-装扮/香水彩妆/HERA赫妍/爱茉莉太平洋贸易有限公司.txt
穿着-装扮,美发-护发,蜂花Beeflower,./穿着-装扮/美发-护发/蜂花Beeflower/17271365710_207x90.gif,./穿着-装扮/美发-护发/蜂花Beeflower/上海华银日用品有限公司.txt
穿着-装扮,鞋袜-箱包,乖乖狗Kinddog,./穿着-装扮/鞋袜-箱包/乖乖狗Kinddog/18051843683_207x90.gif,./穿着-装扮/鞋袜-箱包/乖乖狗Kinddog/福建省泉州南琦鞋业有限公司.txt
穿着-装扮,运动鞋服,双鱼DoubleFish,./穿着-装扮/运动鞋服/双鱼DoubleFish/18032461595_207x90.gif,./穿着-装扮/运动鞋服/双鱼DoubleFish/广州双鱼体育用品集团有限公司.txt
穿着-装扮,香水彩妆,郑一生,./穿着-装扮/香水彩妆/郑一生/09484028464_138x60.gif,./穿着-装扮/香水彩妆/郑一生/广州郑一生化妆品有限公司.txt
穿着-装扮,运动鞋服,WiCore,./穿着-装扮/运动鞋服/WiCore/10541527418_207x90.gif,./穿着-装扮/运动鞋服/WiCore/厦门市简极科技有限公司.txt
穿着-装扮,运动鞋服,拓胜Toswim,./穿着-装扮/运动鞋服/拓胜Toswim/10541636730_207x90.gif,./穿着-装扮/运动鞋服/拓胜Toswim/一泳情深(北京)商贸有限公司.txt
穿着-装扮,运动鞋服,浪都Rundo,./穿着-装扮/运动鞋服/浪都Rundo/10541723284_207x90.gif,./穿着-装扮/运动鞋服/浪都Rundo/福建浪都纺织有限公司.txt
穿着-装扮,香水彩妆,Freeplus芙丽芳丝,./穿着-装扮/香水彩妆/Freeplus芙丽芳丝/09073073323_207x90.gif,./穿着-装扮/香水彩妆/Freeplus芙丽芳丝/佳丽宝化妆品(中国)有限公司.txt
穿着-装扮,服装配饰,瑞弗史东RIVERSTONE,./穿着-装扮/服装配饰/瑞弗史东RIVERSTONE/17501775688_207x90.gif,./穿着-装扮/服装配饰/瑞弗史东RIVERSTONE/华鼎集团控股有限公司.txt
穿着-装扮,美发-护发,梵菲尔firstfeel,./穿着-装扮/美发-护发/梵菲尔firstfeel/17502128452_207x90.gif,./穿着-装扮/美发-护发/梵菲尔firstfeel/青岛千姿发制品有限公司.txt
穿着-装扮,服装配饰,Zara飒拉,./穿着-装扮/服装配饰/Zara飒拉/18061418811_207x90.gif,./穿着-装扮/服装配饰/Zara飒拉/飒拉商业(上海)有限公司.txt
穿着-装扮,服装配饰,Forever21,./穿着-装扮/服装配饰/Forever21/18061636109_207x90.gif,./穿着-装扮/服装配饰/Forever21/永远二十一商业(上海)有限公司.txt
穿着-装扮,服装配饰,MJstyle,./穿着-装扮/服装配饰/MJstyle/08583385412_207x90.gif,./穿着-装扮/服装配饰/MJstyle/上海笕尚实业股份有限公司.txt
穿着-装扮,鞋袜-箱包,高佬Tallmen,./穿着-装扮/鞋袜-箱包/高佬Tallmen/15493890449_207x90.gif,./穿着-装扮/鞋袜-箱包/高佬Tallmen/上海绿鸽皮件有限公司.txt
穿着-装扮,珠宝首饰,和合玉器,./穿着-装扮/珠宝首饰/和合玉器/15571197713_207x90.gif,./穿着-装扮/珠宝首饰/和合玉器/新疆和合珠宝玉器股份有限公司.txt
穿着-装扮,珠宝首饰,格雅Geya,./穿着-装扮/珠宝首饰/格雅Geya/18034494044_207x90.gif,./穿着-装扮/珠宝首饰/格雅Geya/深圳市格雅表业有限公司.txt
穿着-装扮,鞋袜-箱包,阿迪曼Admire,./穿着-装扮/鞋袜-箱包/阿迪曼Admire/09022654193_207x90.gif,./穿着-装扮/鞋袜-箱包/阿迪曼Admire/四川阿迪曼尔皮具服饰有限公司.txt
穿着-装扮,美发-护发,敬修堂,./穿着-装扮/美发-护发/敬修堂/17575381693_207x90.gif,./穿着-装扮/美发-护发/敬修堂/广州白云山敬修堂药业股份有限公司.txt
穿着-装扮,美发-护发,运宝Lukbaby,./穿着-装扮/美发-护发/运宝Lukbaby/17520593110_207x90.gif,./穿着-装扮/美发-护发/运宝Lukbaby/宁波大榭开发区贝亲电器有限公司.txt
穿着-装扮,珠宝首饰,谢瑞麟TSL,./穿着-装扮/珠宝首饰/谢瑞麟TSL/18003055666_207x90.gif,./穿着-装扮/珠宝首饰/谢瑞麟TSL/谢瑞麟珠宝有限公司.txt
穿着-装扮,运动鞋服,Joerex祖迪斯,./穿着-装扮/运动鞋服/Joerex祖迪斯/08524013042_207x90.gif,./穿着-装扮/运动鞋服/Joerex祖迪斯/广东麦斯卡体育股份有限公司.txt
穿着-装扮,美发-护发,奥卡丽斯OCALISS,./穿着-装扮/美发-护发/奥卡丽斯OCALISS/17355323578_207x90.gif,./穿着-装扮/美发-护发/奥卡丽斯OCALISS/广东罗曼智能科技股份有限公司.txt
穿着-装扮,美发-护发,AlexandreZouari,./穿着-装扮/美发-护发/AlexandreZouari/17360521094_207x90.gif,./穿着-装扮/美发-护发/AlexandreZouari/上海崇盟商贸有限公司.txt
穿着-装扮,美发-护发,CherryChau,./穿着-装扮/美发-护发/CherryChau/17360734644_207x90.gif,./穿着-装扮/美发-护发/CherryChau/广州市樱尚饰品有限公司.txt
